category,SYMBOL,Quarter,Change
0,AUTOIND,Mar 2019 - Jun 2019,-0.302373581011352
0,AUTOIND,Sep 2018 - Dec 2018,0.177648040033361
0,AUTOIND,Mar 2018 - Jun 2018,-0.2102564102564102
0,AUTOLITIND,Dec 2019 - Mar 2020,-0.4449877750611247
0,AUTOLITIND,Sep 2019 - Dec 2019,0.2626506024096385
0,AUTOLITIND,Mar 2019 - Jun 2019,-0.3649289099526066
0,AUTOLITIND,Jun 2018 - Sep 2018,-0.3316239316239316
0,AVANTIFEED,Jun 2021 - Sep 2021,-0.1064674096588991
0,AVANTIFEED,Jun 2018 - Sep 2018,-0.3411612426035502
0,DMART,Mar 2020 - Jun 2020,-0.1433461058251172
0,AVTNPL,Dec 2021 - Mar 2022,0.3042183622828784
0,AVTNPL,Jun 2021 - Sep 2021,0.181996086105675
0,AVTNPL,Dec 2019 - Mar 2020,-0.480392156862745
0,AVTNPL,Mar 2019 - Jun 2019,-0.2450199203187251
0,AXISCADES,Mar 2022 - Jun 2022,-0.1737860533041254
0,AXISCADES,Mar 2020 - Jun 2020,0.5134553283100106
0,BAGFILMS,Mar 2022 - Jun 2022,-0.2941176470588235
0,BAGFILMS,Mar 2020 - Jun 2020,-0.2542372881355932
0,BAGFILMS,Jun 2019 - Sep 2019,-0.5333333333333333
0,BAGFILMS,Dec 2018 - Mar 2019,0.1685393258426966
0,BAGFILMS,Jun 2018 - Sep 2018,0.5247524752475249
0,BAJAJ-AUTO,Mar 2020 - Jun 2020,0.0448683593488309
0,BAJAJ-AUTO,Sep 2018 - Dec 2018,0.2353682441893028
0,BAJAJCON,Jun 2022 - Sep 2022,-0.1123832479662547
0,BAJAJCON,Dec 2021 - Mar 2022,-0.2016
0,BAJAJCON,Jun 2021 - Sep 2021,-0.1879243897962928
0,BAJAJCON,Dec 2019 - Mar 2020,-0.4561284486657621
0,BAJAJCON,Jun 2019 - Sep 2019,-0.1626233552631578
0,BAJAJCON,Mar 2019 - Jun 2019,-0.2439062745714734
0,BAJAJELEC,Dec 2021 - Mar 2022,-0.1805111821086262
0,BAJAJELEC,Mar 2021 - Jun 2021,-0.120806259116828
0,BAJAJELEC,Jun 2019 - Sep 2019,0.1251721288901128
0,BAJAJELEC,Dec 2018 - Mar 2019,-0.1649034261865476
0,BAJAJHIND,Jun 2022 - Sep 2022,-0.1635514018691589
0,BAJAJHIND,Mar 2022 - Jun 2022,-0.4353312302839117
0,BAJAJHIND,Sep 2021 - Dec 2021,0.183673469387755
